IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,SEAR,South-East Asia,Country,MDV,Maldives,Year,2019,TRUE,Residence Area Type,rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,13.79,,,10.62,,18.3,13.79 [10.62-18.30],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,CRI,Costa Rica,Year,2019,TRUE,Residence Area Type,rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,13.87,,,11.04,,17.53,13.87 [11.04-17.53],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,SEAR,South-East Asia,Country,MDV,Maldives,Year,2019,TRUE,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,13.88,,,10.82,,18.27,13.88 [10.82-18.27],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,JAM,Jamaica,Year,2019,TRUE,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,13.99,,,11.78,,16.29,13.99 [11.78-16.29],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,ITA,Italy,Year,2019,TRUE,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,14.01,,,13.73,,14.29,14.01 [13.73-14.29],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,HUN,Hungary,Year,2019,TRUE,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,14.05,,,13.23,,15.16,14.05 [13.23-15.16],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,SVN,Slovenia,Year,2019,TRUE,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,14.07,,,13.3,,14.97,14.07 [13.30-14.97],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,CRI,Costa Rica,Year,2019,TRUE,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,14.23,,,11.96,,17.2,14.23 [11.96-17.20],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,GRC,Greece,Year,2019,TRUE,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,14.37,,,12.55,,16.23,14.37 [12.55-16.23],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,CYP,Cyprus,Year,2019,TRUE,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,14.55,,,12.83,,16.8,14.55 [12.83-16.80],,,EN,2022-08-11T23:00:00.000Z
